blk2010gj,blk2010ge,blk2020gj,blk2020ge,parea,weight
G15000100201001123,150010201001123,G15000100201003036,150010201003036,1,1
G15000100201001124,150010201001124,G15000100201003036,150010201003036,1,1
G15000100201001125,150010201001125,G15000100201003035,150010201003035,0.9482604744,0.9087412905
G15000100201001125,150010201001125,G15000100201003036,150010201003036,0.0517395256,0.0912587095
G15000100201001126,150010201001126,G15000100201003038,150010201003038,1,1
G15000100201001127,150010201001127,G15000100201003038,150010201003038,1,1
G15000100201001128,150010201001128,G15000100201003036,150010201003036,1,1
G15000100201001129,150010201001129,G15000100201003038,150010201003038,1,1
G15000100201001130,150010201001130,G15000100201003038,150010201003038,1,1
G15000100201001131,150010201001131,G15000100201003038,150010201003038,1,1
G15000100201001132,150010201001132,G15000100201003040,150010201003040,1,1
G15000100201001133,150010201001133,G15000100201003040,150010201003040,1,1
G15000100201001134,150010201001134,G15000100201003039,150010201003039,1,1
G15000100201001135,150010201001135,G15000100201003039,150010201003039,1,1
G15000100201001136,150010201001136,G15000100201003039,150010201003039,1,1
G15000100201001137,150010201001137,G15000100201003040,150010201003040,1,1
G15000100201001138,150010201001138,G15000100201003038,150010201003038,1,1
G15000100201001139,150010201001139,G15000100201003038,150010201003038,1,1
G15000100201001140,150010201001140,G15000100201003038,150010201003038,1,1
G15000100201001141,150010201001141,G15000100201003035,150010201003035,1,1
G15000100201001142,150010201001142,G15000100201003035,150010201003035,1,1
G15000100201001143,150010201001143,G15000100201003035,150010201003035,1,1
G15000100201001144,150010201001144,G15000100201003035,150010201003035,1,1
G15000100201001145,150010201001145,G15000100201003035,150010201003035,1,1
G15000100201001146,150010201001146,G15000100201003038,150010201003038,1,1
G15000100201001147,150010201001147,G15000100201003038,150010201003038,1,1
G15000100201001148,150010201001148,G15000100201003019,150010201003019,1,1
G15000100201001149,150010201001149,G15000100201003019,150010201003019,1,1
G15000100201001150,150010201001150,G15000100201003019,150010201003019,1,1
G15000100201001151,150010201001151,G15000100201003020,150010201003020,0.3608690052,0.0226366541
G15000100201001151,150010201001151,G15000100201003035,150010201003035,0.6391309948,0.9773633459
G15000100201001152,150010201001152,G15000100201003020,150010201003020,1,1
G15000100201001153,150010201001153,G15000100201003020,150010201003020,1,1
G15000100201001154,150010201001154,G15000100201003020,150010201003020,1,1
G15000100201001155,150010201001155,G15000100201001018,150010201001018,1,1
G15000100201001156,150010201001156,G15000100201001017,150010201001017,1,1
G15000100201001157,150010201001157,G15000100201001017,150010201001017,1,1
G15000100201001158,150010201001158,G15000100201001017,150010201001017,1,1
G15000100201001159,150010201001159,G15000100201001017,150010201001017,1,1
G15000100201001160,150010201001160,G15000100201001019,150010201001019,1,1
G15000100201001161,150010201001161,G15000100201001019,150010201001019,1,1
G15000100201001162,150010201001162,G15000100201001018,150010201001018,1,1
G15000100201001163,150010201001163,G15000100201001020,150010201001020,1,1
G15000100201001164,150010201001164,G15000100201001021,150010201001021,1,1
G15000100201001165,150010201001165,G15000100201001020,150010201001020,1,1
G15000100201001166,150010201001166,G15000100201001022,150010201001022,1,1
G15000100201001167,150010201001167,G15000100201001023,150010201001023,1,1
G15000100201001168,150010201001168,G15000100201001023,150010201001023,1,1
G15000100201001169,150010201001169,G15000100201001019,150010201001019,1,1
G15000100201001170,150010201001170,G15000100201001025,150010201001025,1,1
G15000100201001171,150010201001171,G15000100201001022,150010201001022,1,1
G15000100201001172,150010201001172,G15000100201001024,150010201001024,1,1
G15000100201001173,150010201001173,G15000100201003020,150010201003020,1,1
G15000100201001174,150010201001174,G15000100201003020,150010201003020,1,1
G15000100201001175,150010201001175,G15000100201003020,150010201003020,1,1
G15000100201001176,150010201001176,G15000100201003022,150010201003022,1,1
